Street,City_State_ZipCode,Price,Bedrooms,Bathrooms,Size,Lot Size,TypePrice per Sqft,Year,Neighborhood,Time on Zillow,Views,Saves
"0 Monte Cresta Dr,","Belmont, CA 94002","$85,000","4,926 Square Feet",,"4,926 Square Feet",No Data,Vacant Land,0 spaces,No Data,Neighborhood: Cipriani,401 days,"1,439",30
"236 Klamath St,","Brisbane, CA 94005","$1,389,897",3,2,"2,030","Garage, Garage - Attached, Covered",Single Family,"3,484 sqft",1949,Neighborhood: 94005,297 days,554,5
"1404 Sweetwood Dr,","Daly City, CA 94015","$1,023,446",3,2,"1,140",$1/mo,Single Family,"5,183 sqft",1946,Neighborhood: Broadmoor,361 days,513,3
"0 Sueno Camino,","La Honda, CA 94020","$63,000","6,272 Square Feet",,"6,272 Square Feet",No Data,Vacant Land,0 spaces,No Data,Neighborhood: 94020,718 days,"1,907",16
"50 Dearborn Park Rd,","Pescadero, CA 94060","$4,750,000",4,3,"3,600",29.37 Acres,Single Family,"$1,319",1862,Neighborhood: 94060,288 days,"1,359",29
"40 Selby Ln,","Atherton, CA 94027","$5,580,000",5,4,"4,075",1.01 Acres,Single Family,"$1,369",1939,Neighborhood: 94027,435 days,"1,762",15
"4394 Alpine Rd,","Portola Valley, CA 94028","$2,495,000",1.14 Acres,,1.14 Acres,No Data,Vacant Land,0 spaces,No Data,Neighborhood: 94028,549 days,587,3
"37 Camino Alto,","Millbrae, CA 94030","$1,899,999",3,3,"1,990","7,169 sqft",Single Family,$955,1956,Neighborhood: 94030,296 days,"1,309",25
"1 Summit Rd,","Montara, CA 94037","$799,999",4.5 Acres,,4.5 Acres,0 spaces,Vacant Land,$200/mo,No Data,Neighborhood: 94037,1969 days,809,24
"888 Ocean Blvd,","Moss Beach, CA 94038","$999,000",0.548 Acres,,0.548 Acres,No Data,Vacant Land,0 spaces,No Data,Neighborhood: 94038,623 days,--,--
"2050 Green Oaks Way,","Pescadero, CA 94060","$7,500,000",6,5,"6,000",84.48 Acres,Single Family,"$1,250",2005,Neighborhood: 94060,394 days,"3,165",72
"225 F St,","Redwood City, CA 94063","$1,852,773",4,2,"2,010","Garage, Garage - Attached",Single Family,"4,965 sqft",1950,Neighborhood: Centennial,352 days,421,4
"548 Shorebird Cir UNIT 3203,","Redwood City, CA 94065","$1,278,000",2,2,"1,667",$605/mo,Condo,$767,1980,Neighborhood: Redwood Shores,113 days,"1,483",29
"1042 Montgomery Ave,","San Bruno, CA 94066","$1,299,000",--,--,"1,800",Garage - Attached,Multiple Occupancy,$722,1950,Neighborhood: 94066,226 days,416,1
